Timestamp,How long have you lived in Somerville?,Do you rent or own your place of residence?,"If you own, what type of home do you own?","If a Condo, how many units are in your building?",Are you interested in reducing your energy use?,Have you had an energy audit done in your home?,Please select any measures you have taken to reduce your energy usage.,Would you be interested in a program offered through the City where Somerville residents can receive information on solar for their homes and reduced pricing for solar? ,"If you own a business or commercial building, are you interested in a commercial solar program offered through the City of Somerville?",Are you interested in installing solar PV on your house?,"If you’ve been thinking about installing solar panels, what has held you back?","If you were to install solar PV on your home or business, is your preference to:",Would you like to volunteer on a residential solar outreach effort to get your friends and neighbors to install solar on their homes?,"If solar was not a good fit for your home, the City of Somerville could potentially offer a “community solar project”, where people can opt in to purchase solar shares of a solar project located inside or near Somerville, in essence retaining the same ben",There are various ways in funding a community solar project. Would you be interested in purchasing shares of a community solar project where you could receive the same benefits of owning a system of your own?  Knowing you could receive the energy output f,Please indicate if you would like further information on the following in regards to solar panels (select any and all that you may have),Do you own an electric vehicle?,"If no, have you considered purchasing one?",Would your preference be to charge an electric vehicle in your driveway or charge it in a public lot?
01/25/2015 08:23:46 AM,5-10 years,Own,Condo,3,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,companies won't 'touch' condo properties,Purchase the system outright,No,Somewhat interested,Yes,"Permitting, Financing Options",No,Yes,Driveway
01/11/2015 12:16:46 AM,2-5 years,Own,Condo,2,Yes,No,"Installed a high efficiency hot water system, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,"Maybe, I need to learn more",Cost,Purchase the system outright,No,Somewhat interested,Yes,,No,Yes,Driveway
01/09/2015 10:49:58 AM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Lack of understanding,Purchase the system outright,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Financing Options",No,Yes,Driveway
01/26/2015 02:49:09 PM,1-2 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Lack of understanding,Purchase the system outright,No,Somewhat interested,Yes,,No,Yes,Driveway
01/24/2015 11:29:56 AM,15-20 years,Own,Single family,,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Purchase the system outright,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/12/2015 02:29:07 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Yes, but I don't think my roof is suitable",Not enough sun facing roof.,Purchase the system outright,No,Somewhat interested,Yes,,No,Yes,Driveway
02/05/2015 01:37:48 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Yes, but I don't think my roof is suitable",Not interested in committing to working with a for-profit solar provider whose business model is based on maximizing tax incentives yet relying on the infrastructure paid for by taxes. ,Purchase the system outright,No,Somewhat interested,Yes,,No,Yes,Driveway
01/09/2015 11:00:34 AM,2-5 years,Own,Condo,8,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, dual flush toilets","Yes, somewhat interested",No,"Yes, but large condo association makes it hard.","Not sure if condo counts as residential for tax breaks, etc.",Purchase the system outright,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 11:56:30 AM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Roof Angle,Purchase the system outright,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 12:36:05 PM,20+ years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",Technology,Purchase the system outright,No,Somewhat interested,Yes,,No,Yes,Driveway
01/23/2015 03:46:50 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, installed motion switches","Yes, very interested",No,"Maybe, I need to learn more",Cost,Unsure,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/23/2015 07:10:57 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Lack of understanding,,No,Somewhat interested,Yes,,No,Yes,Driveway
01/23/2015 01:02:00 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",No,"Next Step approved, then disapproved the site",the city,Lease the system,Yes,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 07:17:55 PM,20+ years,Own,,,Yes,No,"Installed a high efficiency heating system, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"maybe, what's PV?",Lack of understanding,don't know,"Maybe, let's talk",Somewhat interested,,Financing Options,No,Yes,Driveway
01/09/2015 10:29:06 AM,2-5 years,Own,Condo,2,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",,Don't know enough yet,"Maybe, let's talk",Somewhat interested,,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/10/2015 12:49:02 AM,20+ years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, Good storm windows...much better than energy star windows.","Yes, very interested",,Yes,Cost,Purchase the system outright,"Maybe, let's talk",Somewhat interested,,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 11:39:53 AM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,"Maybe, let's talk",Somewhat interested,,,No,Yes,Driveway
01/24/2015 02:31:58 PM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use",Not interested at all,,"As a renter, I have no say in this, or I would be interested",Renter,,No,Somewhat interested,,,No,Yes,Driveway
01/09/2015 11:27:45 AM,10-15 years,Own,Multi-family (4+ units),8,Yes,No,"Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,"Maybe, but would have to convince all 9 units in building to participate. Seems unlikely.","See previous — large building, would need all neighbors to agree.",Whatever’s more cost-effective.,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",Yes,Yes,Driveway
01/27/2015 03:58:06 PM,10-15 years,Own,Condo,,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,"Yes, but I live in a condo and solar companies seem unwilling to work with condo associations.",Complications of living in condo association.  Unsure which are reputable solar companies and which are scammers.,Purchase the system outright,"Maybe, let's talk",Somewhat interested,No,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",Hybrid,,Driveway
01/26/2015 11:28:52 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,time to research and implement!,Purchase the system outright,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",Hybrid,,Driveway
01/12/2015 08:58:40 PM,2-5 years,Own,Condo,3,Yes,No,"Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Lack of understanding,don't know,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering",No,,Driveway
01/08/2015 08:13:06 PM,5-10 years,Own,Condo,2,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Cost,Lease the system,No,Somewhat interested,No,"Interconnection & Net Metering, Financing Options",No,No,Public Lot
01/23/2015 11:44:16 AM,5-10 years,Own,Condo,6,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use, use spot heaters when applicable","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Purchase the system outright,No,Somewhat interested,No,"Permitting, Interconnection & Net Metering",No,No,Public Lot
01/19/2015 04:08:02 PM,20+ years,Own,Multi-family (1-4 units),,Yes,No,"Installed a high efficiency hot water system, Shut off lights when not in use","Yes, somewhat interested",No,No,Lack of understanding,,No,Somewhat interested,No,Planning & Zoning,No,No,Public Lot
01/10/2015 12:48:50 AM,15-20 years,Own,Single family,,Yes,No,"Had your home insulated, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,We are in historic district,See above,Purchase the system outright,No,Somewhat interested,Yes,Planning & Zoning,No,No,Public Lot
01/24/2015 02:49:22 PM,2-5 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use",Not interested at all,,I don't own,,,,Somewhat interested,Yes,,No,No,Public Lot
01/12/2015 04:37:50 PM,1-2 years,Rent,Single family,3,Yes,No,"Installed a high efficiency hot water system, Installed LED or CFL lighting, Shut off lights when not in use, Turn down heat when not home","Yes, very interested",,,,,,Somewhat interested,Yes,,No,No,Public Lot
01/26/2015 09:01:51 AM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed a high efficiency heating system, Installed LED or CFL lighting","Yes, very interested",,Yes,We have some vermiculite insulation that might hinder attic access to be dealt with.,don't know,No,Somewhat interested,,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Public Lot
01/11/2015 01:35:46 PM,10-15 years,Own,Condo,2,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Maybe, I need to learn more",Need energy audit to understand big picture ,Lease the system,"Maybe, let's talk",Somewhat interested,No,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Public Lot
01/09/2015 11:17:24 AM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed programmable thermostats","Yes, very interested",Yes,Yes,Cost,Lease the system,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Public Lot
02/05/2015 08:59:13 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Shut off lights when not in use, Set thermostats low","Yes, very interested",,"Yes, but I don't think my roof is suitable",Orientation is wrong,Most suitable option,"Maybe, let's talk",Somewhat interested,Yes,Financing Options,No,Yes,Public Lot
02/08/2015 09:24:08 PM,10-15 years,Own,Single family,,Yes,Yes,"Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Technology,not sure,No,Somewhat interested,Yes,"Interconnection & Net Metering, Financing Options",No,No,
02/18/2015 09:20:48 PM,2-5 years,Own,Condo,3,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"yes, but not sure if the condo association would go for it",cost and neighbors,Purchase the system outright,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Public Lot
01/23/2015 12:12:40 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,See comment above,slate roof,don't know the difference,No,Somewhat interested,Yes,,No,Yes,Public Lot
01/23/2015 12:06:19 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,"Maybe, I need to learn more",Cost,need more information,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Public Lot
01/09/2015 06:35:11 PM,1-2 years,Rent,Multi-family (4+ units),,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",renting,,No,Somewhat interested,Yes,,No,Yes,Public Lot
01/24/2015 09:19:11 AM,2-5 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,Yes,Somewhat interested,Yes,,No,Yes,Public Lot
02/05/2015 03:28:47 AM,10-15 years,Own,Single family,2,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,slate roof,small and vertical roof,Lease the system,,Somewhat interested,,"Permitting, Interconnection & Net Metering, Planning & Zoning",No,Yes,Public Lot
01/09/2015 12:19:57 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Cost,Purchase the system outright,"Maybe, let's talk",Somewhat interested,No,,Yes,Yes,Public Lot
01/24/2015 04:58:25 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,not sure of best option,No,Somewhat interested,No,"Interconnection & Net Metering, Financing Options",Hybrid,,Public Lot
01/25/2015 07:49:23 AM,< 1 year,Own,Condo,2,Yes,No,"Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",,,No,Somewhat interested,Yes,,No,,Public Lot
01/09/2015 10:41:49 AM,5-10 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,"not sure, need more info.",No,Somewhat interested,No,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,
01/09/2015 10:27:35 AM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats","Yes, somewhat interested",,I rent,,,No,Somewhat interested,No,,No,No,
01/25/2015 08:31:28 PM,< 1 year,Rent,Multi-family (4+ units),,Yes,No,"Shut off lights when not in use, Turn down thermostat at night/when away","Yes, somewhat interested",,renter - N/A,,,No,Somewhat interested,No,,No,No,
02/05/2015 11:50:42 AM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"I looked into solar, doesn't look cost-effective for a 3-family rental, where each apartment pays their own electric bill",,don't know enough to choose,Yes,Somewhat interested,No,"Interconnection & Net Metering, Financing Options",No,No,
01/08/2015 03:26:25 PM,20+ years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, partial green roof","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",tree shade in summer,Lease the system,"Maybe, let's talk",Somewhat interested,Yes,,No,No,
01/14/2015 01:02:20 PM,10-15 years,Rent,,,Yes,Yes,"Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, sealed windows","Yes, very interested",,"Maybe, I need to learn more",landlord disinterest,get a reduction in rent if i own it,No,Somewhat interested,Yes,Financing Options,No,No,
01/09/2015 11:16:52 AM,5-10 years,Own,Multi-family (1-4 units),3,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,Need to learn more,No,Somewhat interested,Yes,,No,No,
01/08/2015 04:45:35 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Lack of understanding,not sure,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Financing Options",No,No,
01/09/2015 12:48:01 PM,2-5 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Cost,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,Financing Options,No,No,Driveway
01/09/2015 03:22:54 PM,10-15 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats","Yes, very interested",,"Maybe, I need to learn more",Cost,Purchase the system outright,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,
01/23/2015 12:44:02 PM,20+ years,Own,Single family,,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Technology,uncertain,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering",No,No,
01/14/2015 12:53:19 PM,1-2 years,Own,Condo,3,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,,No,Somewhat interested,Yes,,No,No,
01/07/2015 05:53:51 PM,20+ years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Home energy audit told me house facing wrong direction,,No,Somewhat interested,Yes,,No,No,
01/09/2015 10:44:04 AM,20+ years,Rent,,,Yes,No,Installed energy efficient blinds and or curtains,"Yes, very interested",,"Yes, but I rent and my landlords aren't interested",,,No,Somewhat interested,Yes,,No,No,
01/16/2015 12:04:21 AM,20+ years,Rent,,,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, reduced water heater temp","Yes, somewhat interested",,I rent -- could you persuade my landlord?,I rent,,,Somewhat interested,Yes,,No,No,
01/28/2015 11:58:13 AM,5-10 years,Own,Condo,3,,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",was told roof isn't suitable,,,Somewhat interested,,,No,Yes,
01/11/2015 02:11:03 AM,10-15 years,Own,Multi-family (1-4 units),,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use, renewable power via Mass Energy","Yes, very interested",,Yes,Cost,Purchase the system outright,"Maybe, let's talk",Very interested,No,Financing Options,No,No,Driveway
02/18/2015 04:48:30 PM,< 1 year,Rent,,,Yes,No,Shut off lights when not in use,"Yes, very interested",,Yes,"I rent; I would like my landlord to do this, though",Purchase the system outright,No,Very interested,No,,No,No,Driveway
01/23/2015 12:51:44 PM,2-5 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use, turn down the thermostat in winter","Yes, very interested",,"No, I rent",I don't own my home,,No,Very interested,No,,No,No,Driveway
01/10/2015 04:35:58 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Roof orientation & cost,Don't know,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/10/2015 04:36:06 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Roof orientation & cost,Don't know,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
02/18/2015 07:54:47 PM,10-15 years,Rent,Multi-family (1-4 units),,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",Cost,need cost comparison,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
02/18/2015 07:56:59 PM,10-15 years,Rent,Multi-family (1-4 units),,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",Cost,need cost comparison,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/23/2015 01:13:32 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Cost,not sure,"Maybe, let's talk",Very interested,Yes,Financing Options,No,No,Driveway
01/08/2015 07:11:22 PM,10-15 years,Own,Condo,7,Yes,Yes,"Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,Yes,Time needed to sort out how the condo association should handle it,"Open to either, depends on the terms","Maybe, let's talk",Very interested,Yes,"Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/09/2015 11:20:47 AM,1-2 years,Own,Single family,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, Installed storm windows. Weatherized and caulked countless gaps. Insulated steam pipes. Installed water saving toilet and shower head. Insulated accessible locations. Patched holes in foundation. Installed door sweeps and weather strips.","Yes, very interested",,Yes,Cost,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,,No,No,Driveway
01/23/2015 12:25:21 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
02/17/2015 01:11:49 PM,10-15 years,Rent,,,Yes,No,Shut off lights when not in use,"Yes, very interested",,Yes,Lack of understanding,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/09/2015 04:53:08 PM,2-5 years,Rent,,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,I'm not sure this is an option for renters.,I'm not sure this is an option for renters.,,"Maybe, let's talk",Very interested,Yes,Planning & Zoning,No,No,Driveway
01/23/2015 01:43:08 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",No,"Maybe, I need to learn more",Cost,Lease the system,No,Very interested,Yes,"Permitting, Financing Options",No,No,Driveway
01/11/2015 10:03:39 PM,5-10 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,Lease the system,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/14/2015 11:03:53 AM,2-5 years,Rent,Multi-family (1-4 units),,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",No,"Maybe, I need to learn more",Cost,Lease the system,No,Very interested,Yes,,No,No,Driveway
01/24/2015 10:31:13 PM,15-20 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Lease the system,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/25/2015 12:51:37 AM,5-10 years,Own,Multi-family (1-4 units),3,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Lack of understanding,Not sure,No,Very interested,Yes,Financing Options,No,No,Driveway
01/09/2015 06:52:19 PM,15-20 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, plastic on windows, smart power strip that turns off computer peripherals when computer sleeps","Yes, very interested",,"Yes, but I don't think my roof is suitable","We have a big tree in the backyard, and I was told the roof faces the wrong way.",not sure - maybe a low or no interest loan?,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/09/2015 12:07:20 PM,5-10 years,Rent,Multi-family (1-4 units),,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Yes,Lack of understanding,open to options,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/13/2015 02:01:12 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,Yes,Cost,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
